Brand,Name,Speed,Modules,CAS,Price,AmazonLink,
Corsair,Vengeance LPX 16GB,DDR4,3200,2,8GB,16,66.98
Corsair,Vengeance RGB PRO 16GB,DDR4,3200,2,8GB,16,87.99
Corsair,Vengeance RGB PRO 32GB,DDR4,3600,2,16GB,18,152.99
G.Skill,Ripjaws V Series 32GB,DDR4,3200,2,16GB,16,114.99
G.Skill,Trident Z RGB 16GB,DDR4,3600,2,8GB,18,89.99
Corsair,Vengeance RGB PRO 16GB,DDR4,3200,2,8GB,16,82.99
Corsair,Vengeance LPX 32GB,DDR4,3600,2,16GB,18,129.99
G.Skill,Ripjaws V Series 16GB,DDR4,3200,2,8GB,16,64.99
Crucial,Ballistix 16GB,DDR4,3600,2,8GB,16,85.78
Corsair,Dominator Platinum 128GB,DDR4,3200,8,16GB,16,3998
Corsair,Ballistix 16GB,DDR4,3200,2,8GB,16,86.72
G.Skill,Trident Z Neo 32GB,DDR4,3600,2,16GB,16,189.99
Corsair,Vengeance RGB Pro SL 32GB,DDR4,3600,2,16GB,18,154.99
Corsair,Vengeance LPX 16GB,DDR4,3600,2,8GB,18,76.98
Team T-Force,VULCAN Z 16GB,DDR4,3200,2,8GB,16,62.99
Crucial,Ballistix 32GB,DDR4,3200,2,16GB,16,89.99
G.Skill,Trident Z RGB 32GB,DDR4,3600,2,16GB,16,184.99
G.Skill,Ripjaws V 16GB,DDR4,3600,2,8GB,16,76.99
Corsair,Vengeance LPX 32GB,DDR4,3200,2,16GB,16,134.99
Corsair,Vengeance RGB Pro 32GB,DDR4,3200,4,8GB,16,173.99
G.Skill,Ripjaws V 32GB,DDR4,3600,2,16GB,16,153.99
Corsair,Vengeance RGB Pro 16GB,DDR4,3600,2,8GB,18,84.99
Silicon Power,XPOWER Turbine 16GB,DDR4,3200,2,8GB,16,55.97
G.Skill,Trident Z RGB 128GB,DDR4,4000,4,32GB,18,719.99
G.Skill,Ripjaws V 16GB,DDR4,3600,2,8GB,18,58.99
Corsair,Vengeance LPX 16GB,DDR4,3200,2,8GB,16,71.98
G.Skill,Aegis 8GB,DDR4,3000,1,8GB,16,29.99
Crucial,Ballistix RGB 16GB,DDR4,3600,2,8GB,16,91.99
G.Skill,Trident Z RGB 64GB,DDR4,3600,2,32GB,18,299.99
G.Skill,Trident Z RGB 16GB,DDR4,3200,2,8GB,16,82.99
Team T-Force,Delta RGB 16GB,DDR4,3600,2,16GB,18,74.99
G.Skill,Trident Z Royal 32GB,DDR4,3600,2,16GB,19,164.99
Team T-Force,Delta RGB 16GB,DDR4,3200,2,8GB,16,77.98
Silicon Power,SP016GXLZU320BDAJ5 16GB,DDR4,3200,2,8GB,16,49.97
Corsair,Vengeance LPX 64GB,DDR4,3200,2,32GB,16,274.99
G.Skill,Trident Z Neo 16GB,DDR4,3600,2,8GB,16,114.99
Corsair,Vengeance RGB Pro 32GB,DDR4,3200,2,16GB,16,144.99
Corsair,Vengeance LPX 8GB,DDR4,2400,1,8GB,16,39.99
Corsair,Vengeance RGB Pro 16GB,DDR4,3600,2,8GB,18,91.99
Silicon Power,Gaming 16GB,DDR4,3000,2,8GB,16,54.97
G.Skill,Aegis 16GB,DDR4,3200,2,8GB,16,57.99
Corsair,Vengeance RGB Pro 64GB,DDR4,3600,4,16GB,18,304.99
G.Skill,Trident Z RGB 32GB,DDR4,3600,4,8GB,18,184.99
G.Skill,Ripjaws V 32GB,DDR4,3600,2,16GB,18,116.99
Team T-Force,Delta RGB 16GB,DDR4,3600,2,8GB,18,83.95
G.Skill,Trident Z Neo 64GB,DDR4,3600,4,16GB,16,389.99
Corsair,Vengeance LPX 16GB,DDR4,3000,2,8GB,15,75.98
G.Skill,Trident Z RGB 32GB,DDR4,3200,2,16GB,16,149.99
ADATA,XPG SPECTRIX D60G 16GB,DDR4,3200,2,8GB,16,71.98
Team T-Force,Zeus 16GB,DDR4,3200,2,8GB,20,51.99
Crucial,Ballistix 32GB,DDR4,3600,2,16GB,16,204.99
Crucial,Ballistix 16GB,DDR4,3200,2,8GB,16,75.99
Kingston,FURY Beast 32GB,DDR4,3600,2,16GB,18,154
G.Skill,Ripjaws V 32GB,DDR4,4000,2,16GB,18,135.99
G.Skill,Trident Neo 32GB,DDR4,4000,2,16GB,18,166.99
G.Skill,Ripjaws V 64GB,DDR4,3600,2,32GB,18,275.99
Corsair,Vengeance RGB Pro 32GB,DDR4,3600,4,8GB,18,179.99
Corsair,Ballistix RGB 16GB,DDR4,3600,2,8GB,16,91.99
Corsair,Vengeance RGB Pro 32GB,DDR4,3600,4,8GB,18,209.99
Neo Forza,FAYE 16GB,DDR4,3200,2,8GB,16,49.99
Corsair,Dominator Platinum RGB 32GB,DDR4,3600,4,8GB,18,265.99
Corsair,Vengeance RGB RT 32GB,DDR4,3600,2,16GB,16,164.99
G.Skill,Aegis 4GB,DDR4,2133,1,4GB,15,18.98
Patriot,Viper Steel 16GB,DDR4,4400,2,8GB,19,109.99
G.Skill,Aegis 8GB,DDR4,2400,1,8GB,17,30.99
Crucial,Ballistix RGB 16GB,DDR4,3200,2,8GB,16,78.99
Team T-Force,Delta RGB 32GB,DDR4,3600,2,16GB,18,119.99
Crucial,Ballistix 32GB,DDR4,3200,2,16GB,16,124.99
Silicon,Power GAMING 32GB,DDR4,3200,2,16GB,16,104.97
Kingston,HyperX Fury 8GB,DDR4,2666,1,8GB,16,62
G.Skill,Aegis 32GB,DDR4,2666,2,16GB,19,92.99
Crucial,Ballistix 16GB,DDR4,3600,2,8GB,16,76.08
Team T-Force,VULCAN Z 16GB,DDR4,3200,2,8GB,16,54.99
G.Skill,Trident Z RGB 32GB,DDR4,3600,2,16GB,18,129.99
Corsair,Vengeance LPX 16GB,DDR4,3000,2,8GB,16,69.98
Corsair,Vengeance LPX 16GB,DDR4,2666,2,8GB,16,69.98
Corsair,Vengeance LPX 16GB,DDR4,3200,2,8GB,16,77.99
G.Skill,Trident Z Royal Elite 16GB,DDR4,5333,2,8GB,16,319.99
G.Skill,Ripjaws V Series 16GB,DDR4,3200,2,8GB,16,63.99
Corsair,Vengeance RGB Pro 32GB,DDR4,3600,2,16GB,18,134.99
