Brand,Name,Capacity,Type,Form Factor,Price,Amazon Link
Samsung,970 Evo Plus,1TB,SSD,M.2,112.98,
Seagate,Barracuda Compute,2TB,HDD,"3.5""",46.99,
Western Digital,Blue SN550,1TB,SSD,M.2,94.99,
Samsung,970 EVO Plus,2TB,SSD,M.2,219.99,
Western Digital,Blue SN550,500GB,SSD,M.2,42.99,
Samsung,970 Evo Plus,500GB,SSD,M.2,69.98,
Samsung,980 Pro,2TB,SSD,M.2,325.74,
Samsung,980 Pro,1TB,SSD,M.2,149.99,
Western Digital,Caviar Blue,1TB,HDD,"3.5""",39.99,
Samsung,870 Evo,1TB,SSD,"2.5""",119.99,
Samsung,980,1TB,SSD,M.2,114.99,
Kingston,A400,240GB,SSD,"2.5""",34.99,
Seagate,BarraCuda,1TB,HDD,"3.5""",46.49,
Western Digital,WD_BLACK SN750,1TB,SSD,M.2,129.69,
Crucial,P2,1TB,SSD,M.2,94.99,
Seagate,IronWolf Pro,20TB,HDD,"3.5""",599.99,
Samsung,870 QVO,2TB,SSD,"2.5""",158,
Crucial,P2,500GB,SSD,M.2,55.99,
Seagate,BarraCuda,4TB,HDD,"3.5""",69.99,
Western Digital,Blue,1TB,SSD,"2.5""",99.99,
Sabrent,Rocket Q,8TB,SSD,M.2,1299.99,
Samsung,980,500GB,SSD,M.2,59.99,
Team,QX,15.3TB,SSD,"2.5""",3299.99,
Western Digital,Black SN850,1TB,SSD,M.2,159.99,
Western Digital,WD Blue,2TB,HDD,"3.5""",46.99,
Kingston,A2000,1TB,SSD,M.2,97.99,
Crucial,MX500,1TB,SSD,"2.5""",89.99,
Samsung,970 Evo Plus,250GB,SSD,M.2,52.99,
Samsung,870 Evo,500GB,SSD,"2.5""",69.98,
Seagate,BarraCuda Compute,4TB,HDD,"3.5""",69.98,
Western Digital,Black SN850,2TB,SSD,M.2,309.99,
Samsung,980 Pro,500GB,SSD,M.2,109.99,
Samsung,870 QVO,8TB,SSD,"2.5""",713.96,
Corsair,MP400,8TB,SSD,M.2,1234.99,
Western Digital,Black,4TB,HDD,"3.5""",124.99,
Silicon Power,A60,1TB,SSD,M.2,78.98,
Western Digital,Blue,500GB,SSD,"2.5""",59.98,
Sabernt,Rocket Q,1TB,SSD,M.2,89.99,
Crucial,MX500,2TB,SSD,"2.5""",196.21,
Samsung,870 Evo,4TB,SSD,"2.5""",446.76,
Samsung,970 Evo,1TB,SSD,M.2,168.92,
Seagate,BarraCuda Compute,8TB,HDD,"3.5""",139.99,
Western Digital,WD_BLACK SN750 SE,1TB,SSD,M.2,99.99,
Crucial,P2,2TB,SSD,M.2,189.99,
Western Digital,Blue SN570,1TB,SSD,M.2,99.99,
Crucial,P5,1TB,SSD,M.2,99.99,
Seagate,IronWolf Pro,4TB,HDD,"3.5""",129.99,
Western Digital,Blue SN550,250GB,SSD,M.2,39.99,
Sabrent,Rocket 4.0,1TB,SSD,M.2,129.99,
Intel,660p Series,1TB,SSD,M.2,94.99,
Toshiba,MQ01ABD032,320GB,HDD,"2.5""",13.93,
Kingston,A400,480GB,SSD,"2.5""",54.99,
Kingston,A400,120GB,SSD,"2.5""",23.99,
Crucial,MX500,500GB,SSD,"2.5""",54.99,
Samsung,870 Evo,2TB,SSD,"2.5""",229.99,
Samsung,870 QVO,4TB,SSD,"2.5""",304,
Samsung,860 Evo,1TB,SSD,"2.5""",249,
Team,MP33,1TB,SSD,M.2,79.97,
Sabrent,Rocket Q,2TB,SSD,M.2,179.99,
Samsung,980 Pro,250GB,SSD,M.2,69.98,
Western Digital,Blue,2TB,SSD,M.2,199.99,
PNY,CS900,120GB,SSD,"2.5""",21.99,
Seagate,FireCuda 530,4TB,SSD,M.2,899.99,
Sabrent,Rocket,1TB,SSD,M.2,99.99,
SanDisk,SSD PLUS,1TB,SSD,"2.5""",79.98,
Corsair,MP600 Force Series Gen4,1TB,SSD,M.2,144.99,
Sabrent,Rocket 4 Plus,4TB,SSD,M.2,749.99,
Western Digital,WD_BLACK SN750 SE,500GB,SSD,M.2,49.99,
Western Digital,WD_BLACK SN750,2TB,SSD,M.2,799.99,
Samsung,870 QVO,1TB,SSD,"2.5""",99.99,
Western Digital,Gold,18TB,HDD,"3.5""",464,
Samsung,860 Evo,500GB,SSD,"2.5""",144.99,
Crucial,P1,1TB,SSD,M.2,122.5,
Seagate,EXOS Enterprise,16TB,HDD,"3.5""",285,
Western Digital,Blue SN550,2TB,SSD,M.2,208.97,
Western Digital,WD Green SN350,960GB,SSD,M.2,74.98,
Team,MP33,512GB,SSD,M.2,46.99,
Seagate,BarraCuda,2TB,HDD,"3.5""",160,
Western Digital,Black SN850,500GB,SSD,M.2,99.99,
Seagate,FireCuda 530,1TB,SSD,M.2,169.99,
Western Digital,WD Blue,2TB,SSD,"2.5""",179.99,
ADATA,SU630,240GB,SSD,"2.5""",29.99,
Western Digital,Blue SN570,500GB,SSD,M.2,49.99,
Kingston,A2000,500GB,SSD,M.2,89.78,
Seagate,FireCuda 530,2TB,SSD,M.2,369.99,
ADATA,XPG SX8200 Pro,1TB,SSD,M.2,97.99,
Western Digital,Blue,500GB,SSD,M.2,59.99,
Western Digital,Blue,2TB,HDD,"3.5""",44.99,
PNY,CD900,240GB,SSD,"2.5""",27.99,
Western Digital,Red,4TB,HDD,"3.5""",79.98,
Patriot,P300,256GB,SSD,M.2,31.99,
Corsair,MP600 Force Series Gen4,2TB,SSD,M.2,279.99,
Crucial,BX500,1TB,SSD,"2.5""",89.99,
Seagate,IronWolf NAS,8TB,HDD,"3.5""",215.99,
Western Digital,BLACK SERIES,2TB,HDD,"3.5""",79.98,
